state,x,y
Andhra Pradesh,-58,-114
Arunachal Pradesh,185,100
Assam,167,68
Bihar,42,56
Chhattisgarh,-12,-9
Goa,300,500
Gujarat,-182,15
Haryana,-100,102
Himachal Pradesh,-87,143
Jharkhand,41,23
Karnataka,-120,-98
Kerala,-109,-180
Madhya Pradesh,-66,15
Maharashtra,-137,-40
Manipur,186,47
Meghalaya,140,53
Mizoram,170,20
Nagaland,195,68
Odisha,39,-27
Punjab,-118,129
Rajasthan,-153,74
Sikkim,95,81
Tamil Nadu,-66,-169
Telangana,-64,-60
Tripura,151,28
Uttar Pradesh,-45,73
Uttarakhand,-59,115
West Bengal,88,15
Jammu,-107,187

